2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 35, Current best: 7145.32895872569, Global best: 7145.32895872569, Runtime: 0.00451 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 36, Current best: 7934.254633306545, Global best: 7145.32895872569, Runtime: 0.00464 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 37, Current best: 9631.687939670652, Global best: 7145.32895872569, Runtime: 0.00449 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 38, Current best: 10714.716227720888, Global best: 7145.32895872569, Runtime: 0.00496 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 39, Current best: 7133.03478551652, Global best: 7133.03478551652, Runtime: 0.00431 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 40, Current best: 7825.619906470059, Global best: 7133.03478551652, Runtime: 0.00430 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 41, Current best: 7882.681031081526, Global best: 7133.03478551652, Runtime: 0.00455 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 42, Current best: 7302.684016449081, Global best: 7133.03478551652, Runtime: 0.00464 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 43, Current best: 7833.459117304625, Global best: 7133.03478551652, Runtime: 0.01144 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 44, Current best: 7851.999222289583, Global best: 7133.03478551652, Runtime: 0.01120 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 45, Current best: 9570.411972578651, Global best: 7133.03478551652, Runtime: 0.01629 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 46, Current best: 8361.847878249333, Global best: 7133.03478551652, Runtime: 0.01038 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 47, Current best: 10100.94397808912, Global best: 7133.03478551652, Runtime: 0.00670 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 48, Current best: 9682.103514613938, Global best: 7133.03478551652, Runtime: 0.00578 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 49, Current best: 9208.329457013127, Global best: 7133.03478551652, Runtime: 0.00985 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 50, Current best: 7243.612775998643, Global best: 7133.03478551652, Runtime: 0.00997 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 51, Current best: 7574.856060773941, Global best: 7133.03478551652, Runtime: 0.00768 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 52, Current best: 8193.474501525696, Global best: 7133.03478551652, Runtime: 0.00515 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 53, Current best: 8287.732412416122, Global best: 7133.03478551652, Runtime: 0.00473 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 54, Current best: 7521.004988167157, Global best: 7133.03478551652, Runtime: 0.00432 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 55, Current best: 7519.025155671938, Global best: 7133.03478551652, Runtime: 0.00436 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 56, Current best: 6986.676387823042, Global best: 6986.676387823042, Runtime: 0.00422 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 57, Current best: 8526.090942816641, Global best: 6986.676387823042, Runtime: 0.00421 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 58, Current best: 9626.754906755566, Global best: 6986.676387823042, Runtime: 0.00442 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 59, Current best: 6838.486385601606, Global best: 6838.486385601606, Runtime: 0.00489 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 60, Current best: 7643.893089896476, Global best: 6838.486385601606, Runtime: 0.00435 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 61, Current best: 4625.251624622984, Global best: 4625.251624622984, Runtime: 0.00453 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 62, Current best: 5856.890190344173, Global best: 4625.251624622984, Runtime: 0.00426 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 63, Current best: 7352.746917153505, Global best: 4625.251624622984, Runtime: 0.00416 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 64, Current best: 7449.297992981443, Global best: 4625.251624622984, Runtime: 0.00423 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 65, Current best: 8009.757961325335, Global best: 4625.251624622984, Runtime: 0.00676 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 66, Current best: 9660.393461796779, Global best: 4625.251624622984, Runtime: 0.01336 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 67, Current best: 5359.638810969007, Global best: 4625.251624622984, Runtime: 0.01206 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 68, Current best: 8985.97315831935, Global best: 4625.251624622984, Runtime: 0.01221 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 69, Current best: 7132.642277142229, Global best: 4625.251624622984, Runtime: 0.00997 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 70, Current best: 8767.70312418492, Global best: 4625.251624622984, Runtime: 0.00703 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 71, Current best: 9282.700723123498, Global best: 4625.251624622984, Runtime: 0.01114 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 72, Current best: 9419.642060761402, Global best: 4625.251624622984, Runtime: 0.01174 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 73, Current best: 7404.367178506779, Global best: 4625.251624622984, Runtime: 0.00827 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 74, Current best: 7066.09070636221, Global best: 4625.251624622984, Runtime: 0.00601 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 75, Current best: 11222.484303628846, Global best: 4625.251624622984, Runtime: 0.00456 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 76, Current best: 10872.582329917106, Global best: 4625.251624622984, Runtime: 0.00434 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 77, Current best: 10630.24502565139, Global best: 4625.251624622984, Runtime: 0.00420 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 78, Current best: 10717.720603433665, Global best: 4625.251624622984, Runtime: 0.00441 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 79, Current best: 11152.347490465128, Global best: 4625.251624622984, Runtime: 0.00459 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 80, Current best: 12814.048041572732, Global best: 4625.251624622984, Runtime: 0.00479 seconds
