2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 35, Current best: 9638.815728056874, Global best: 5949.105314959098, Runtime: 0.00445 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 36, Current best: 8449.710609261703, Global best: 5949.105314959098, Runtime: 0.00449 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 37, Current best: 6973.3920961210115, Global best: 5949.105314959098, Runtime: 0.00449 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 38, Current best: 8410.371693109964, Global best: 5949.105314959098, Runtime: 0.00439 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 39, Current best: 7190.88451008164, Global best: 5949.105314959098, Runtime: 0.00457 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 40, Current best: 9925.14216483589, Global best: 5949.105314959098, Runtime: 0.00767 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 41, Current best: 8630.08474394935, Global best: 5949.105314959098, Runtime: 0.01195 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 42, Current best: 8219.629038845585, Global best: 5949.105314959098, Runtime: 0.00748 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 43, Current best: 8095.696846380034, Global best: 5949.105314959098, Runtime: 0.00521 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 44, Current best: 8374.845567319335, Global best: 5949.105314959098, Runtime: 0.00437 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 45, Current best: 10803.944940410025, Global best: 5949.105314959098, Runtime: 0.00445 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 46, Current best: 9302.967936818011, Global best: 5949.105314959098, Runtime: 0.00442 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 47, Current best: 7378.2559788943, Global best: 5949.105314959098, Runtime: 0.00798 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 48, Current best: 6182.340424608008, Global best: 5949.105314959098, Runtime: 0.01178 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 49, Current best: 5796.449957773933, Global best: 5796.449957773933, Runtime: 0.00832 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 50, Current best: 7998.543397410368, Global best: 5796.449957773933, Runtime: 0.00545 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 51, Current best: 7095.044003548197, Global best: 5796.449957773933, Runtime: 0.00693 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 52, Current best: 7834.584838417729, Global best: 5796.449957773933, Runtime: 0.00489 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 53, Current best: 10223.869970923455, Global best: 5796.449957773933, Runtime: 0.00455 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 54, Current best: 8575.92772976441, Global best: 5796.449957773933, Runtime: 0.00431 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 55, Current best: 9118.647485719162, Global best: 5796.449957773933, Runtime: 0.00477 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 56, Current best: 12229.179303018193, Global best: 5796.449957773933, Runtime: 0.00436 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 57, Current best: 11825.550645719892, Global best: 5796.449957773933, Runtime: 0.00508 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 58, Current best: 11674.927561802184, Global best: 5796.449957773933, Runtime: 0.00761 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 59, Current best: 10350.566543510115, Global best: 5796.449957773933, Runtime: 0.00442 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 60, Current best: 8813.913664418124, Global best: 5796.449957773933, Runtime: 0.00448 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 61, Current best: 12275.587926940809, Global best: 5796.449957773933, Runtime: 0.00435 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 62, Current best: 8864.903885091691, Global best: 5796.449957773933, Runtime: 0.00719 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 63, Current best: 9517.831369999401, Global best: 5796.449957773933, Runtime: 0.01321 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 64, Current best: 8268.274413220499, Global best: 5796.449957773933, Runtime: 0.00912 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 65, Current best: 7961.471711123549, Global best: 5796.449957773933, Runtime: 0.00770 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 66, Current best: 8717.130466877477, Global best: 5796.449957773933, Runtime: 0.00593 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 67, Current best: 7157.48831367113, Global best: 5796.449957773933, Runtime: 0.00434 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 68, Current best: 7419.428206166675, Global best: 5796.449957773933, Runtime: 0.00443 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 69, Current best: 10218.625942014152, Global best: 5796.449957773933, Runtime: 0.00447 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 70, Current best: 8770.75212159221, Global best: 5796.449957773933, Runtime: 0.00694 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 71, Current best: 7331.960303996397, Global best: 5796.449957773933, Runtime: 0.00807 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 72, Current best: 8611.33197755759, Global best: 5796.449957773933, Runtime: 0.00741 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 73, Current best: 8475.125011818896, Global best: 5796.449957773933, Runtime: 0.00506 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 74, Current best: 9227.418762636049, Global best: 5796.449957773933, Runtime: 0.00497 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 75, Current best: 7259.416061443528, Global best: 5796.449957773933, Runtime: 0.00542 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 76, Current best: 9885.420160412732, Global best: 5796.449957773933, Runtime: 0.00452 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 77, Current best: 9540.549081076606, Global best: 5796.449957773933, Runtime: 0.00455 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 78, Current best: 5992.063251196405, Global best: 5796.449957773933, Runtime: 0.00484 seconds
